item_id,shift_k,original_correct,shifted_correct
9047,6,B,H
9048,7,J,G
9049,2,F,H
9052,9,C,B
9054,5,H,C
9055,7,F,C
9059,5,B,G
9060,8,A,I
9061,4,C,G
9069,3,G,J
9070,3,D,G
9071,7,D,A
9074,5,H,C
9082,6,E,A
9085,9,I,H
9086,3,G,J
9088,9,G,F
9089,3,D,G
9091,2,A,C
9097,8,A,I
9098,2,A,C
9100,2,B,D
9104,1,J,A
9105,4,B,F
9106,6,E,A
9107,4,A,E
9108,1,G,H
9110,3,B,E
9111,1,B,C
9115,4,J,D
9116,9,A,J
9117,7,F,C
9120,3,D,G
9121,3,H,A
9123,1,A,B
9129,5,F,A
9130,6,J,F
9135,2,E,G
9140,3,D,G
9141,4,A,E
9142,1,G,H
9143,7,H,E
9147,9,J,I
9149,8,I,G
9152,2,D,F
9153,4,H,B
9156,1,A,B
9157,3,C,F
9158,4,E,I
9161,7,A,H
9165,4,B,F
9167,3,C,F
9169,5,F,A
9171,2,F,H
9178,9,D,C
9179,4,G,A
9181,8,A,I
9182,4,F,J
9183,8,H,F
9185,3,J,C
9186,5,B,G
9189,9,J,I
9190,7,F,C
9193,6,D,J
9194,1,C,D
9199,9,E,D
9200,7,E,B
9206,4,E,I
9207,4,A,E
9209,8,G,E
9211,6,B,H
9213,7,H,E
9214,5,J,E
9216,5,D,I
9218,2,C,E
9223,3,J,C
9226,7,C,J
9229,6,A,G
9230,4,G,A
9231,9,D,C
9234,3,D,G
9237,7,A,H
9238,2,B,D
9239,9,B,A
9241,4,C,G
9242,3,A,D
9245,2,J,B
9246,6,J,F
9249,9,J,I
9252,8,D,B
9255,7,D,A
9257,8,D,B
9258,4,C,G
9265,8,D,B
9267,6,F,B
9268,5,F,A
9272,8,J,H
9273,6,A,G
9274,1,B,C
9277,8,A,I
9278,5,E,J
9279,2,E,G
9283,2,G,I
9284,7,I,F
9290,8,I,G
9292,4,E,I
9294,4,B,F
9297,2,J,B
9300,5,H,C
9302,6,D,J
9305,6,H,D
9306,8,F,D
9309,5,F,A
9313,9,D,C
9315,5,E,J
9321,4,I,C
9322,7,E,B
9325,1,B,C
9326,7,B,I
9328,5,I,D
9333,8,A,I
9338,2,J,B
9340,9,I,H
9342,7,J,G
9343,8,H,F
9346,7,A,H
9347,6,C,I
9362,8,D,B
9365,2,A,C
9367,2,J,B
9369,3,C,F
9373,3,G,J
9374,2,D,F
9376,9,H,G
9380,1,A,B
9383,6,I,E
9385,9,A,J
9388,9,I,H
9389,2,F,H
9392,3,E,H
9395,4,F,J
9396,5,D,I
9398,2,G,I
9400,2,H,J
9401,6,J,F
9402,2,F,H
9403,8,G,E
9412,2,G,I
9414,9,G,F
9416,2,D,F
9422,1,B,C
9423,3,J,C
9424,6,J,F
9427,5,B,G
9430,4,E,I
9431,2,G,I
9438,9,B,A
9440,9,I,H
9443,5,B,G
9453,8,C,A
9454,7,I,F
9456,7,I,F
9457,9,J,I
9459,8,G,E
9460,7,F,C
9465,2,B,D
9471,8,G,E
9473,2,F,H
9474,5,G,B
9475,4,C,G
9476,9,A,J
9477,4,D,H
9479,5,D,I
9482,8,H,F
9487,8,H,F
9488,7,G,D
9495,4,J,D
9498,5,C,H
9499,6,A,G
9501,2,G,I
9503,8,D,B
9504,9,G,F
9506,7,G,D
9510,8,D,B
9512,6,C,I
9513,9,I,H
9514,4,D,H
9515,5,A,F
9517,6,A,G
9518,7,H,E
9519,8,E,C
9523,4,F,J
9526,8,C,A
9531,9,F,E
9532,2,E,G
9535,6,H,D
9536,1,B,C
9540,4,G,A
9545,6,C,I
9551,7,B,I
9557,7,E,B
9559,1,H,I
9561,7,F,C
9563,7,J,G
9564,4,I,C
9568,9,G,F
9569,5,C,H
9571,3,G,J
9572,9,C,B
9576,1,B,C
9578,1,A,B
9580,4,E,I
9582,9,B,A
9585,4,D,H
9588,8,B,J
9589,3,A,D
9591,9,H,G
9592,9,J,I
9594,2,E,G
9607,5,A,F
9610,8,A,I
9611,4,E,I
9613,4,C,G
9614,9,E,D
9615,6,J,F
9618,7,B,I
9620,3,D,G
9621,5,B,G
9622,4,F,J
9624,1,I,J
9625,7,I,F
9627,3,C,F
9628,1,B,C
9630,9,F,E
9636,3,C,F
9637,2,F,H
9639,9,A,J
9640,2,F,H
9642,7,J,G
9644,8,I,G
9645,9,I,H
9648,1,E,F
9649,3,A,D
9651,8,A,I
9653,1,A,B
9659,9,J,I
9666,4,E,I
9668,4,F,J
9669,4,G,A
9670,4,E,I
9672,6,I,E
9673,3,F,I
9674,3,C,F
9676,3,G,J
9677,3,C,F
9685,2,G,I
9686,9,H,G
9687,9,G,F
9688,6,H,D
9696,9,E,D
9697,3,H,A
9703,5,B,G
9706,6,E,A
9711,3,D,G
9712,1,C,D
9713,7,D,A
9715,9,E,D
9721,3,J,C
9723,2,H,J
9726,7,I,F
9731,5,D,I
9736,3,E,H
9740,9,F,E
9743,8,H,F
9744,7,I,F
9749,9,A,J
9751,3,G,J
9755,7,D,A
9757,7,A,H
9758,9,J,I
9759,9,H,G
9761,4,B,F
9764,4,D,H
9765,9,I,H
9767,8,A,I
9769,8,E,C
9771,1,F,G
9773,5,E,J
9774,9,D,C
9776,6,D,J
9777,9,A,J
9778,8,E,C
9780,9,B,A
9785,1,H,I
9786,6,A,G
9789,3,D,G
9795,5,C,H
9800,9,C,B
9802,5,I,D
