item_id,domain,b_orig_response,b_perm_response,shift_k,classification
866,law,B,F,1,other
867,law,E,F,4,other
871,law,C,G,5,other
872,law,F,E,1,other
873,law,B,E,3,shifted_content
874,law,F,F,7,same_letter
876,law,E,F,1,shifted_content
879,law,F,E,3,other
885,law,G,B,5,shifted_content
889,law,F,E,4,other
890,law,H,H,5,same_letter
894,law,E,E,1,same_letter
895,law,E,E,4,same_letter
896,law,E,F,9,other
899,law,F,E,9,shifted_content
902,law,E,E,6,same_letter
903,law,F,E,3,other
905,law,C,E,5,other
907,law,F,E,6,other
908,law,E,G,4,other
909,law,A,F,5,shifted_content
913,law,E,E,3,same_letter
915,law,E,F,1,shifted_content
917,law,F,F,4,same_letter
918,law,F,B,6,shifted_content
919,law,F,E,6,other
922,law,E,E,6,same_letter
923,law,E,G,5,other
924,law,F,E,5,other
925,law,E,E,2,same_letter
933,law,E,E,5,same_letter
937,law,E,E,6,same_letter
939,law,G,F,4,other
942,law,F,F,3,same_letter
943,law,E,E,6,same_letter
944,law,E,E,5,same_letter
946,law,G,F,6,other
952,law,F,E,7,other
954,law,F,E,6,other
955,law,E,E,8,same_letter
958,law,F,F,3,same_letter
959,law,G,F,6,other
965,law,G,E,8,shifted_content
969,law,F,E,9,shifted_content
971,law,C,F,3,shifted_content
973,law,E,E,5,same_letter
974,law,F,B,6,shifted_content
975,law,G,F,3,other
976,law,F,F,3,same_letter
981,law,C,F,7,other
983,law,C,E,7,other
984,law,F,E,1,other
985,law,E,E,9,same_letter
986,law,E,F,7,other
988,law,E,E,6,same_letter
990,law,E,E,3,same_letter
991,law,E,G,6,other
994,law,F,F,5,same_letter
995,law,E,E,7,same_letter
1000,law,E,F,7,other
1004,law,F,E,5,other
1005,law,E,F,7,other
1007,law,E,E,9,same_letter
1008,law,E,E,4,same_letter
1010,law,E,E,6,same_letter
1015,law,F,F,2,same_letter
1016,law,A,E,7,other
1017,law,G,F,9,shifted_content
1019,law,E,F,1,shifted_content
1032,law,B,E,3,shifted_content
1036,law,E,E,5,same_letter
1038,law,E,F,4,other
1040,law,F,A,2,other
1041,law,F,F,1,same_letter
1042,law,E,E,6,same_letter
1044,law,E,E,5,same_letter
1045,law,G,E,6,other
1050,law,E,E,2,same_letter
1051,law,F,E,9,shifted_content
1052,law,E,E,4,same_letter
1053,law,E,E,3,same_letter
1055,law,G,J,2,other
1061,law,F,D,5,other
1063,law,F,F,1,same_letter
1064,law,E,E,1,same_letter
1065,law,F,E,3,other
1067,law,C,F,8,other
1068,law,F,F,7,same_letter
1069,law,F,F,4,same_letter
1070,law,E,F,2,other
1071,law,E,E,8,same_letter
1072,law,F,G,3,other
1073,law,E,E,7,same_letter
1076,law,F,E,5,other
